strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop,n_estimators,max_depth,xgb_threshold,use_garch,train_window_bars,predict_window_bars
vec_rsi_xgb_regime,4h,1.3959788195944998,1.299166838410159,1.3738309536858204,1.5472093270823004,0.4090287277701778,0.1410210937446384,1.2047924821269136,598,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.3226096840852943,1.1892615522684975,1.2717734558148122,1.5512434214448392,0.3987688098495212,0.1229433700661238,1.0122476870185766,583,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.3049884585769287,1.1932610405956567,1.1915880951730786,1.5673587126224744,0.4945280437756498,0.1253600904968428,1.05158907184074,723,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.2739268759879214,1.1902818097622612,1.223777640974718,1.4356028659686717,0.4555403556771545,0.1373613560420105,1.0564849764134563,666,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.2495492988675776,1.0968319682406775,1.1290833907287383,1.5736383145089496,0.4596443228454172,0.1123300567297556,0.9194701915897,672,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.2077495398247882,1.1191830998296162,1.2160544029163671,1.317533263393439,0.3768809849521203,0.1379118082271801,0.9519304912929328,551,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.2043763937750152,1.1575606927713098,1.2488515744393671,1.2223221477822706,0.4042407660738714,0.1722483740620392,1.1498762560423317,591,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.171574967358348,1.0822794379375715,1.089298475850029,1.3729121647610352,0.506155950752394,0.1294646699374672,0.925860403714054,740,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.1577473144980177,1.043376249329055,1.1394960166117472,1.328493365942904,0.3974008207934336,0.1259921618990124,0.8588639297505513,581,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.138332715031551,1.0191527614164166,1.1355611979115596,1.3000108369717214,0.3679890560875513,0.1229824445903842,0.8114750900705757,538,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.6,,1080,180
vec_rsi_xgb_regime,4h,1.135785770288012,1.048192238170052,1.1126180474189715,1.2757448693143325,0.4179206566347469,0.1302366424299921,0.8510239091706028,611,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.1290153357969328,1.0592523910878924,1.1083388648955126,1.2427090663104066,0.4623803009575923,0.1395495157952464,0.8976906063983494,676,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.067711875032316,0.9935035168804102,1.055835801246391,1.1785324263541153,0.4411764705882353,0.135439066042279,0.8098541056759646,645,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.0609308840422955,0.977285292808328,1.084695235341082,1.148693987722132,0.3645690834473324,0.1320471453025514,0.7607351394980364,533,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.6,,1080,180
vec_rsi_xgb_regime,4h,1.0560677637454745,1.0251660324399166,1.074305175438162,1.0790326604601967,0.4507523939808481,0.1687235903022523,0.9542797178398944,659,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.0552271163285931,1.00599101431531,1.0247938305268995,1.1513085381479986,0.4890560875512996,0.1525026200962152,0.911710736913279,715,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.0491336999069365,0.9505901725232726,1.019946388272397,1.2097123813863613,0.4254445964432284,0.1253856169903346,0.760727615135837,622,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.0340853686756195,0.979887963506728,1.0894771834542951,1.050956760788799,0.3727770177838577,0.1645393387733607,0.8944811236126503,545,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.0148775135905594,0.9461040194769772,0.9635759489410276,1.1578770703915346,0.5,0.142217601919294,0.8416423276279243,731,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.0084008140563463,0.946799717642922,1.0118272634013068,1.0871091599292857,0.4158686730506156,0.1367160540722625,0.7420904370798147,608,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.0041051669567895,0.9479903998015649,0.9826213239824764,1.1004086994714024,0.4740082079343365,0.1368663709633833,0.7541739440526783,693,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.4,,1080,180
vec_rsi_xgb_regime,4h,0.9805802804747146,0.9138449209429836,0.9670415309250188,1.083099509400052,0.4418604651162791,0.1334654630942307,0.7175003460946622,646,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.45,,1080,180
vec_rsi_xgb_regime,4h,0.9374399215135872,0.8867108467481002,0.933742478894269,1.0087761304868883,0.454172366621067,0.150110873384159,0.759183135498814,664,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,0.8828347084330589,0.8613170119663357,0.961958418653585,0.8324012601681637,0.3946648426812585,0.1600365049959727,0.650330887658661,577,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.55,,1080,180
vec_rsi_xgb_regime,4h,0.8697646445580551,0.7968400957302594,0.8985483437572394,0.9382136771292656,0.3385772913816689,0.1281709073457149,0.5759962687581729,495,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.6,,1080,180
vec_rsi_xgb_regime,4h,0.8664979860364584,0.8105917034747799,0.9013574909403133,0.9061801912148416,0.3939808481532147,0.1492080388295972,0.6619991684957726,576,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,5,0.55,,1080,180
vec_rsi_xgb_regime,4h,0.8600404978855752,0.8368104879218251,0.9479263166468334,0.8031280257426506,0.3625170998632011,0.156828102685903,0.6083736385808073,530,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,5,0.6,,1080,180
vec_rsi_xgb_regime,4h,0.8484845355325382,0.8036196435345766,0.8788202349294124,0.8779686921329463,0.420656634746922,0.1561096973555339,0.672876133448829,615,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,0.7648736845652868,0.7184580067990778,0.8131894243282055,0.7784455151573133,0.393296853625171,0.1530511394633253,0.5697515572836993,575,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,0.7445154894545811,0.6939221976868689,0.7561364331924015,0.8003522680737104,0.4555403556771545,0.1461863397065867,0.5577538207406737,666,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,5,0.4,,1080,180
vec_rsi_xgb_regime,4h,0.7270388669257019,0.6905603200870174,0.760621560912266,0.7420942353907172,0.4117647058823529,0.1517067848947116,0.5332083041553791,602,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,5,0.5,,1080,180
xgboost,4h,0.7148320692484593,0.920712667083522,0.6773782715420654,0.4777784031747695,2.207934336525308,0.2729233714570869,0.6339539132416264,3228,,,,,,,,,,,,,,,,,0.03,,200,5,,True,1080,180
vec_rsi_xgb_regime,4h,0.7132390462452028,0.6647361957919917,0.768255780138062,0.7228927796232921,0.3632010943912448,0.1494157843045503,0.5081399127853496,531,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,5,0.6,,1080,180
vec_rsi_xgb_regime,4h,0.6995788743593269,0.6494430496872073,0.7161356725623255,0.7498698423858211,0.4343365253077975,0.1427749347738469,0.5029722224011273,635,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,5,0.45,,1080,180
vec_rsi_xgb_regime,4h,0.6961434941163798,0.6618834420062845,0.7648541134279486,0.6731129442849376,0.3604651162790697,0.1589186626943946,0.5024697154902364,527,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,200,3,0.6,,1080,180
xgboost,4h,0.6780798913543328,0.8317378316068075,0.6221503884114535,0.5291321406272458,2.158002735978112,0.2113467685823416,0.5290701706616413,3155,,,,,,,,,,,,,,,,,0.03,,100,5,,True,1080,180
xgboost,4h,0.6401919074406619,0.8303219051970838,0.6166006489651744,0.4102765022409203,2.1839945280437756,0.2760254783959076,0.5368884319927368,3193,,,,,,,,,,,,,,,,,0.03,,200,5,,True,1080,180
xgboost,4h,0.6314136168298593,0.830243812068468,0.6164121200595627,0.3813081866153446,2.2489740082079344,0.3031845630254121,0.5499817049606154,3288,,,,,,,,,,,,,,,,,0.03,,100,5,,True,1080,180
vec_rsi_xgb_regime,4h,0.6044063494042535,0.5648559327696073,0.6196354505386202,0.6419111371160818,0.4350205198358413,0.1408460426163964,0.4144365336504779,636,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,5,0.45,,1080,180
xgboost,4h,0.6042866117479319,0.7962880082129784,0.5911082765862772,0.3614630849561908,2.2127222982216144,0.2960701274898013,0.5027318738254757,3235,,,,,,,,,,,,,,,,,0.03,,100,5,,True,1080,180
xgboost,4h,0.6002156114778823,0.7580024720792284,0.5720632054620348,0.4179855366919351,2.1443228454172365,0.241008050933828,0.468869073125923,3135,,,,,,,,,,,,,,,,,0.03,,200,5,,True,1080,180
vec_rsi_xgb_regime,4h,0.6001290879127724,0.5689756178400514,0.6113025424086297,0.6304935935138766,0.466484268125855,0.1446343452428748,0.4184960403672635,682,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,5,0.4,,1080,180
vec_rsi_xgb_regime,4h,0.5855802847682299,0.570537524579997,0.6360023258730707,0.5552152572476994,0.4097127222982216,0.1636902123071481,0.4168942351887972,599,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,5,0.5,,1080,180
xgboost,4h,0.5490095476803031,0.6963051443282116,0.5211840802086453,0.3804408862880829,2.134746922024624,0.2370923923978509,0.4133404070901546,3121,,,,,,,,,,,,,,,,,0.03,,100,3,,True,1080,180
vec_rsi_xgb_regime,4h,0.5143603853555663,0.4944677934005491,0.5803614278524323,0.4748827987987233,0.3344733242134063,0.1609800292749738,0.3432595810004007,489,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.6,,1080,180
vec_rsi_xgb_regime,4h,0.4939090693341868,0.4937159640005375,0.574634203512446,0.4134414089341267,0.3891928864569083,0.1862819927438289,0.3461114165264285,569,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,5,0.55,,1080,180
xgboost,4h,0.4711198990429225,0.6106633432851992,0.4514902524251188,0.3046916200043573,2.192202462380301,0.2526183562953922,0.3458811507251216,3205,,,,,,,,,,,,,,,,,0.03,,200,3,,True,1080,180
xgboost,4h,0.4506003602101839,0.5741113011969451,0.4396441949584246,0.2968752708129282,2.13406292749658,0.2366755450380263,0.3126147921800573,3120,,,,,,,,,,,,,,,,,0.03,,200,3,,True,1080,180
vec_rsi_xgb_regime,4h,0.4420504163925203,0.4391129835866305,0.5203091108653086,0.3677082989942516,0.3584131326949384,0.1809657222799552,0.2944309976756454,524,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,5,0.6,,1080,180
xgboost,4h,0.3433664926359309,0.4662259176694123,0.3490861688778113,0.1738342496827418,2.1716826265389875,0.3071267435698124,0.2316560576825035,3175,,,,,,,,,,,,,,,,,0.03,,100,3,,True,1080,180
xgboost,4h,0.2980178773060874,0.3991531680276421,0.3020325144613212,0.1591561858554472,2.168262653898769,0.2650067758592705,0.1799761255264182,3170,,,,,,,,,,,,,,,,,0.03,,200,3,,True,1080,180
xgboost,4h,0.1814760744371794,0.2479865881702129,0.1950954625724935,0.0791760013244873,2.0622435020519836,0.2434815924967291,0.0794925647238135,3015,,,,,,,,,,,,,,,,,0.03,,100,3,,True,1080,180
xgboost,4h,-0.1182135883812838,-0.1302242039400458,-0.1055029307717866,-0.1149100919124317,2.1142270861833103,0.4239461554103507,-0.1813230167299136,3091,,,,,,,,,,,,,,,,,0.05,,200,5,,True,1080,180
xgboost,4h,-0.1526950676546218,-0.1776106786635803,-0.1454492304795065,-0.1267200901511256,2.094391244870041,0.4352137166516926,-0.203281998466805,3062,,,,,,,,,,,,,,,,,0.05,,200,5,,True,1080,180
xgboost,4h,-0.177350539367033,-0.2100227712960685,-0.1725063529685871,-0.1386317498600982,2.1238030095759233,0.4392667513214662,-0.2225146792133494,3105,,,,,,,,,,,,,,,,,0.05,,100,5,,True,1080,180
xgboost,4h,-0.1786861230548801,-0.2089148611454579,-0.1730580909486715,-0.1440091710403182,2.084815321477428,0.4079847855392522,-0.2153837387578897,3048,,,,,,,,,,,,,,,,,0.05,,100,5,,True,1080,180
xgboost,4h,-0.2097300508592791,-0.2533286065370785,-0.2073279558351927,-0.1540007383129663,2.1443228454172365,0.4584138147801722,-0.2541881396217976,3135,,,,,,,,,,,,,,,,,0.05,,100,5,,True,1080,180
xgboost,4h,-0.2256941045229472,-0.2736483286736198,-0.2281361434211881,-0.1593131000904761,2.064295485636115,0.4375013449660797,-0.2513024755933975,3018,,,,,,,,,,,,,,,,,0.05,,200,5,,True,1080,180
xgboost,4h,-0.2745958533755334,-0.3313125797936918,-0.2761247450851217,-0.1974446597750671,2.0437756497948016,0.3880880101821508,-0.2733835517329077,2988,,,,,,,,,,,,,,,,,0.05,,200,3,,True,1080,180
xgboost,4h,-0.28765158011501,-0.3650410102420952,-0.2993755023647729,-0.1727417510291334,2.037619699042408,0.4922645833378577,-0.2995300761450524,2979,,,,,,,,,,,,,,,,,0.05,,100,3,,True,1080,180
xgboost,4h,-0.3267992749671702,-0.4098631894876443,-0.3305903909527705,-0.2122562729542711,2.0868673050615594,0.4467312213355217,-0.3290655633442336,3051,,,,,,,,,,,,,,,,,0.05,,200,3,,True,1080,180
xgboost,4h,-0.388244236401135,-0.4958241670527912,-0.4078693260599087,-0.2251792392068194,2.06703146374829,0.4758372187159689,-0.3649258511378327,3022,,,,,,,,,,,,,,,,,0.05,,200,3,,True,1080,180
xgboost,4h,-0.3945623308439714,-0.5202169516853529,-0.4212075901700994,-0.2003775770626681,2.0615595075239397,0.5728376000643388,-0.3864032177354476,3014,,,,,,,,,,,,,,,,,0.05,,100,3,,True,1080,180
xgboost,4h,-0.493002059872602,-0.6371127781061183,-0.5464967163661819,-0.2473597790676669,1.9740082079343368,0.5085641653780543,-0.4164206038800033,2886,,,,,,,,,,,,,,,,,0.05,,100,3,,True,1080,180
